block	context	SZ	CSI	ProbeType	Ans	PC	RT
1	1	4	0.3	2	right'	1	0.647753263
1	1	4	0.3	0	left'	1	2.097371116
1	1	4	0.3	0	left'	1	1.783817902
1	1	6	0.3	1	right'	1	1.160726368
1	1	6	0.3	1	right'	1	1.762125402
1	1	2	0.3	0	left'	1	0.758260116
1	1	2	0.3	0	left'	1	0.671610907
1	0	6	0.3	2	right'	1	1.910662222
1	0	6	0.3	0	left'	1	3.162359009
1	1	2	0.3	2	right'	1	0.845312748
1	1	2	0.3	0	left'	1	1.610406984
1	0	2	0.3	0	left'	1	0.965140973
1	0	2	0.3	1	right'	1	0.616632022
1	0	2	0.3	1	right'	1	1.505473059
1	0	2	0.3	0	left'	1	0.778300237
1	1	4	0.3	0	left'	1	1.410176693
1	1	4	0.3	1	right'	1	1.196518558
1	0	2	0.3	0	left'	1	0.893223827
1	0	2	0.3	0	left'	1	0.841661015
1	1	8	0.3	2	right'	1	0.786409365
1	1	8	0.3	1	right'	1	4.039821688
1	1	2	0.3	0	left'	1	0.930764713
1	1	2	0.3	0	left'	1	1.756590369
1	0	4	2	0	left'	1	1.659482544
1	0	4	2	0	left'	1	1.052210184
1	0	6	2	2	right'	1	0.692713272
1	0	6	2	0	left'	1	0.811911493
1	1	2	2	0	left'	1	0.662005717
1	1	2	2	1	right'	1	0.582931555
1	1	4	2	0	left'	1	2.907279307
1	1	4	2	2	right'	1	0.701153586
1	1	2	2	2	right'	1	0.625028915
1	1	2	2	0	left'	1	0.601013769
1	0	6	2	1	right'	1	0.695501315
1	0	6	2	2	right'	1	0.791933346
1	0	6	2	1	right'	1	0.726625714
1	0	6	2	0	left'	1	1.466699404
1	0	6	2	1	right'	1	1.443062813
1	0	6	2	0	left'	1	0.860829158
1	1	4	2	0	left'	1	0.737172751
1	1	4	2	0	left'	1	2.456018944
1	0	4	2	1	right'	1	1.477184862
1	0	4	2	1	left'	0	1.794766784
1	1	2	2	0	left'	1	1.139550976
1	1	2	2	0	left'	1	0.549403588
1	1	6	2	2	right'	1	1.159028989
1	1	6	2	0	left'	1	0.729443362
1	1	6	2	0	left'	1	0.594229781
1	1	6	2	0	left'	1	0.816590337
1	1	8	2	1	right'	1	1.495057075
1	1	8	2	0	left'	1	1.719181721
1	1	6	2	2	left'	0	1.023928697
1	1	6	2	1	left'	0	1.607018937
1	0	8	2	0	left'	1	1.190251283
1	0	8	2	2	right'	1	1.240254086
1	0	8	2	2	right'	1	0.77884853
1	0	8	2	2	left'	0	2.215771569
1	1	8	2	2	right'	1	0.874234502
1	1	8	2	2	right'	1	0.681966891
1	0	8	2	0	left'	1	1.287651609
1	0	8	2	1	right'	1	1.217308289
1	0	4	2	0	left'	1	0.933018674
1	0	4	2	1	right'	1	0.58537578
1	1	8	2	0	left'	1	0.990795865
1	1	8	2	1	right'	1	0.71010193
1	1	2	2	1	right'	1	0.835368083
1	1	2	2	0	left'	1	0.861920217
1	0	4	2	0	left'	1	1.651650918
1	0	4	2	2	right'	1	0.683469663
1	1	6	2	0	left'	1	0.876108329
1	1	6	2	2	right'	1	0.666909958
1	0	2	2	2	right'	1	0.537956151
1	0	2	2	0	left'	1	0.573425444
1	1	6	2	2	right'	1	0.60581893
1	1	6	2	2	right'	1	0.686605866
1	0	2	2	0	left'	1	1.216519995
1	0	2	2	1	right'	1	0.476637753
1	1	4	2	0	left'	1	0.844307742
1	1	4	2	0	left'	1	0.989507831
1	1	4	2	2	right'	1	0.50043145
1	1	4	2	0	left'	1	0.65206421
1	1	4	2	2	right'	1	0.702224513
1	1	4	2	0	left'	1	1.824455911
1	0	2	2	2	right'	1	0.573985579
1	0	2	2	2	right'	1	0.581739837
1	1	8	2	2	right'	1	0.636219377
1	1	8	2	2	right'	1	0.914606852
1	1	2	2	0	left'	1	1.777035098
1	1	2	2	0	left'	1	0.683060319
1	0	6	2	0	left'	1	1.979661851
1	0	6	2	1	right'	1	0.884394695
1	0	8	2	0	left'	1	0.995738001
1	0	8	2	2	right'	1	0.828563962
1	1	2	2	2	right'	1	0.562536957
1	1	2	2	1	right'	1	0.576561253
1	0	2	2	1	right'	1	1.762747906
1	0	2	2	0	left'	1	0.608662631
1	0	8	2	0	right'	0	0.805901588
1	0	8	2	0	left'	1	1.534159944
1	0	8	2	1	right'	1	0.835184529
1	0	8	2	2	right'	1	0.68812956
1	1	4	2	2	right'	1	0.580512593
1	1	4	2	1	right'	1	0.665312843
1	0	6	2	2	right'	1	1.519211169
1	0	6	2	0	left'	1	0.635522268
1	1	4	2	1	right'	1	0.564610917
1	1	4	2	1	right'	1	1.110046587
1	0	4	2	2	right'	1	0.650511306
1	0	4	2	1	right'	1	1.925955999
1	0	8	2	1	right'	1	1.67247657
1	0	8	2	0	left'	1	1.588772906
1	1	2	2	0	left'	1	0.772784546
1	1	2	2	0	left'	1	0.73444984
1	0	8	2	0	left'	1	1.283532506
1	0	8	2	0	left'	1	0.718516586
1	1	8	2	1	right'	1	0.754606015
1	1	8	2	0	left'	1	2.59574479
1	0	6	2	2	right'	1	0.587306449
1	0	6	2	1	right'	1	2.481051333
1	0	4	2	2	right'	1	0.608743948
1	0	4	2	1	left'	0	2.102040881
1	0	6	2	1	right'	1	1.097027298
1	0	6	2	1	right'	1	0.821641026
1	0	8	2	0	left'	1	1.095686369
1	0	8	2	0	left'	1	1.347009337
1	1	4	2	0	left'	1	1.039882478
1	1	4	2	2	right'	1	0.619738619
1	0	6	2	0	left'	1	0.955840917
1	0	6	2	2	right'	1	0.759838678
1	0	4	2	2	right'	1	0.682712159
1	0	4	2	0	left'	1	1.806076458
1	1	2	2	0	left'	1	0.557663507
1	1	2	2	2	right'	1	0.517225236
1	0	2	2	2	right'	1	0.611689887
1	0	2	2	0	left'	1	1.284591591
1	0	4	2	2	right'	1	0.613926479
1	0	4	2	0	right'	0	1.461457267
1	1	2	2	1	right'	1	0.544193031
1	1	2	2	0	left'	1	0.706771909
1	1	4	2	1	right'	1	0.697260668
1	1	4	2	2	right'	1	0.830439368
1	0	2	2	0	left'	1	0.673592893
1	0	2	2	1	right'	1	0.569502526
1	0	6	2	2	right'	1	0.833801757
1	0	6	2	2	right'	1	0.738283547
1	1	6	2	0	left'	1	1.357268215
1	1	6	2	0	left'	1	1.320497861
1	0	4	2	2	right'	1	0.70769402
1	0	4	2	0	left'	1	1.999473418
1	0	6	2	0	left'	1	1.106908805
1	0	6	2	0	left'	1	0.616829391
1	1	8	2	2	right'	1	0.893448434
1	1	8	2	0	left'	1	0.955219203
1	1	6	2	1	right'	1	0.57819271
1	1	6	2	0	left'	1	0.59682756
1	0	4	2	0	left'	1	0.685137042
1	0	4	2	0	left'	1	0.902195855
1	1	8	2	2	right'	1	0.811494254
1	1	8	2	1	right'	1	1.545908173
1	0	6	2	2	right'	1	1.619817962
1	0	6	2	2	right'	1	1.183910982
1	1	8	2	0	left'	1	3.305166979
1	1	8	2	0	right'	0	1.28338132
1	0	2	2	0	left'	1	0.904975609
1	0	2	2	0	left'	1	0.657337926
1	0	4	2	0	left'	1	0.63164356
1	0	4	2	2	right'	1	0.564271442
1	0	2	2	1	right'	1	0.587116975
1	0	2	2	2	right'	1	0.793505987
1	0	8	2	0	left'	1	0.888608536
1	0	8	2	1	right'	1	1.934841185
1	1	8	2	0	left'	1	2.316845734
1	1	8	2	0	left'	1	1.244465953
1	1	6	2	2	right'	1	0.704589791
1	1	6	2	0	left'	1	2.334473603
1	1	2	2	0	left'	1	0.645737329
1	1	2	2	0	left'	1	0.585016567
1	1	8	2	2	right'	1	0.640181375
1	1	8	2	1	right'	1	0.932967752
1	0	2	2	1	right'	1	0.804723686
1	0	2	2	1	left'	0	0.440022926
1	1	2	2	1	right'	1	0.564109993
1	1	2	2	0	left'	1	0.551518996
1	0	2	5	1	right'	1	0.726636766
1	0	2	5	2	right'	1	0.687537056
