sz,ProbeType,CSI,ProbeType2,CSI2,cueorder,cat1,cat2,trial,position,ups,downs,pos,color,col_a,col_b
4,2,0.3,1,2,0,1,0,18,951,"(-100, 200),(100, 200),(-200, 100),(200, 100)","(100, -200),(-100, -200),(-200, -100),(200, -100)","(-100, 200),(100, 200),(-200, 100),(200, 100),(100, -200),(-100, -200),(-200, -100),(200, -100)","(0, 128, 128),(107, 142, 35),(222, 184, 135),(255, 182, 193),(255, 128, 0),(0, 230, 115),(128, 0, 128),(0, 100, 0)","(0, 128, 128),(107, 142, 35),(222, 184, 135),(255, 182, 193)","(255, 128, 0),(0, 230, 115),(128, 0, 128),(0, 100, 0)"
1,0,2,0,0.3,0,0,1,19,4,"(-200, 100)","(100, -200)","(-200, 100),(100, -200)","(222, 184, 135),(255, 128, 0)","(222, 184, 135)","(255, 128, 0)"
2,2,0.3,0,2,1,0,1,20,1021,"(-100, 200),(200, 100)","(-200, -100),(-100, -200)","(-100, 200),(200, 100),(-200, -100),(-100, -200)","(255, 140, 0),(0, 128, 128),(255, 128, 0),(0, 100, 0)","(255, 140, 0),(0, 128, 128)","(255, 128, 0),(0, 100, 0)"
2,0,5,0,2,0,1,0,21,21,"(-100, 200),(200, 100)","(100, -200),(-200, -100)","(-100, 200),(200, 100),(100, -200),(-200, -100)","(0, 102, 102),(255, 140, 0),(139, 69, 19),(128, 0, 128)","(0, 102, 102),(255, 140, 0)","(139, 69, 19),(128, 0, 128)"
3,2,0.3,2,2,0,1,0,22,986,"(100, 200),(-100, 200),(200, 100)","(200, -100),(-100, -200),(-200, -100)","(100, 200),(-100, 200),(200, 100),(200, -100),(-100, -200),(-200, -100)","(0, 102, 102),(255, 182, 193),(107, 142, 35),(0, 230, 115),(255, 128, 0),(0, 100, 0)","(0, 102, 102),(255, 182, 193),(107, 142, 35)","(0, 230, 115),(255, 128, 0),(0, 100, 0)"
4,0,5,0,2,1,0,1,23,203,"(-200, 100),(100, 200),(-100, 200),(200, 100)","(-100, -200),(200, -100),(100, -200),(-200, -100)","(-200, 100),(100, 200),(-100, 200),(200, 100),(-100, -200),(200, -100),(100, -200),(-200, -100)","(255, 182, 193),(0, 128, 128),(107, 142, 35),(222, 184, 135),(0, 100, 0),(139, 69, 19),(128, 0, 128),(0, 230, 115)","(255, 182, 193),(0, 128, 128),(107, 142, 35),(222, 184, 135)","(0, 100, 0),(139, 69, 19),(128, 0, 128),(0, 230, 115)"
1,1,5,2,0.3,0,0,1,24,692,"(-100, 200)","(-100, -200)","(-100, 200),(-100, -200)","(255, 182, 193),(255, 128, 0)","(255, 182, 193)","(255, 128, 0)"
4,2,2,0,5,1,1,0,25,1075,"(100, 200),(-200, 100),(-100, 200),(200, 100)","(200, -100),(100, -200),(-200, -100),(-100, -200)","(100, 200),(-200, 100),(-100, 200),(200, 100),(200, -100),(100, -200),(-200, -100),(-100, -200)","(107, 142, 35),(0, 102, 102),(255, 182, 193),(255, 140, 0),(0, 100, 0),(128, 0, 128),(0, 230, 115),(139, 69, 19)","(107, 142, 35),(0, 102, 102),(255, 182, 193),(255, 140, 0)","(0, 100, 0),(128, 0, 128),(0, 230, 115),(139, 69, 19)"
3,0,0.3,0,0.3,0,0,1,26,326,"(-200, 100),(-100, 200),(200, 100)","(100, -200),(-100, -200),(-200, -100)","(-200, 100),(-100, 200),(200, 100),(100, -200),(-100, -200),(-200, -100)","(255, 140, 0),(0, 128, 128),(0, 102, 102),(255, 128, 0),(139, 69, 19),(128, 0, 128)","(255, 140, 0),(0, 128, 128),(0, 102, 102)","(255, 128, 0),(139, 69, 19),(128, 0, 128)"
1,0,0.3,1,2,1,1,0,27,516,"(-200, 100)","(-100, -200)","(-200, 100),(-100, -200)","(255, 140, 0),(0, 100, 0)","(255, 140, 0)","(0, 100, 0)"
