sz,ProbeType,CSI,ProbeType2,CSI2,cueorder,cat1,cat2,trial,position,ups,downs,pos,color,col_a,col_b
3,1,2,2,2,0,0,1,180,702,"(-100, 200),(100, 200),(200, 100)","(-200, -100),(100, -200),(200, -100)","(-100, 200),(100, 200),(200, 100),(-200, -100),(100, -200),(200, -100)","(255, 140, 0),(222, 184, 135),(0, 128, 128),(139, 69, 19),(128, 0, 128),(0, 100, 0)","(255, 140, 0),(222, 184, 135),(0, 128, 128)","(139, 69, 19),(128, 0, 128),(0, 100, 0)"
3,0,0.3,2,2,1,1,0,181,266,"(200, 100),(-100, 200),(-200, 100)","(100, -200),(-100, -200),(200, -100)","(200, 100),(-100, 200),(-200, 100),(100, -200),(-100, -200),(200, -100)","(255, 182, 193),(255, 140, 0),(0, 102, 102),(128, 0, 128),(0, 100, 0),(255, 128, 0)","(255, 182, 193),(255, 140, 0),(0, 102, 102)","(128, 0, 128),(0, 100, 0),(255, 128, 0)"
4,0,2,2,5,0,1,0,182,427,"(100, 200),(200, 100),(-200, 100),(-100, 200)","(-200, -100),(200, -100),(-100, -200),(100, -200)","(100, 200),(200, 100),(-200, 100),(-100, 200),(-200, -100),(200, -100),(-100, -200),(100, -200)","(0, 128, 128),(0, 102, 102),(255, 140, 0),(107, 142, 35),(139, 69, 19),(0, 230, 115),(255, 128, 0),(128, 0, 128)","(0, 128, 128),(0, 102, 102),(255, 140, 0),(107, 142, 35)","(139, 69, 19),(0, 230, 115),(255, 128, 0),(128, 0, 128)"
4,0,5,0,0.3,0,0,1,183,299,"(100, 200),(-100, 200),(-200, 100),(200, 100)","(-100, -200),(-200, -100),(100, -200),(200, -100)","(100, 200),(-100, 200),(-200, 100),(200, 100),(-100, -200),(-200, -100),(100, -200),(200, -100)","(0, 128, 128),(255, 140, 0),(107, 142, 35),(222, 184, 135),(128, 0, 128),(0, 100, 0),(139, 69, 19),(255, 128, 0)","(0, 128, 128),(255, 140, 0),(107, 142, 35),(222, 184, 135)","(128, 0, 128),(0, 100, 0),(139, 69, 19),(255, 128, 0)"
1,2,2,0,5,0,0,1,184,892,"(-200, 100)","(100, -200)","(-200, 100),(100, -200)","(107, 142, 35),(128, 0, 128)","(107, 142, 35)","(128, 0, 128)"
1,2,5,1,5,0,1,0,185,968,"(-200, 100)","(-100, -200)","(-200, 100),(-100, -200)","(222, 184, 135),(0, 100, 0)","(222, 184, 135)","(0, 100, 0)"
2,0,5,0,0.3,0,0,1,186,333,"(-100, 200),(-200, 100)","(-100, -200),(200, -100)","(-100, 200),(-200, 100),(-100, -200),(200, -100)","(255, 182, 193),(107, 142, 35),(0, 230, 115),(255, 128, 0)","(255, 182, 193),(107, 142, 35)","(0, 230, 115),(255, 128, 0)"
4,0,2,1,2,0,1,0,187,379,"(-200, 100),(100, 200),(200, 100),(-100, 200)","(-200, -100),(100, -200),(-100, -200),(200, -100)","(-200, 100),(100, 200),(200, 100),(-100, 200),(-200, -100),(100, -200),(-100, -200),(200, -100)","(255, 140, 0),(0, 128, 128),(255, 182, 193),(0, 102, 102),(139, 69, 19),(128, 0, 128),(255, 128, 0),(0, 100, 0)","(255, 140, 0),(0, 128, 128),(255, 182, 193),(0, 102, 102)","(139, 69, 19),(128, 0, 128),(255, 128, 0),(0, 100, 0)"
3,0,0.3,2,5,0,1,0,188,134,"(-100, 200),(100, 200),(200, 100)","(100, -200),(-100, -200),(200, -100)","(-100, 200),(100, 200),(200, 100),(100, -200),(-100, -200),(200, -100)","(0, 102, 102),(107, 142, 35),(255, 182, 193),(0, 100, 0),(139, 69, 19),(128, 0, 128)","(0, 102, 102),(107, 142, 35),(255, 182, 193)","(0, 100, 0),(139, 69, 19),(128, 0, 128)"
3,0,2,0,0.3,0,0,1,189,42,"(-100, 200),(200, 100),(-200, 100)","(-100, -200),(100, -200),(200, -100)","(-100, 200),(200, 100),(-200, 100),(-100, -200),(100, -200),(200, -100)","(107, 142, 35),(255, 140, 0),(255, 182, 193),(139, 69, 19),(128, 0, 128),(0, 230, 115)","(107, 142, 35),(255, 140, 0),(255, 182, 193)","(139, 69, 19),(128, 0, 128),(0, 230, 115)"
2,2,0.3,1,5,0,0,1,190,961,"(200, 100),(100, 200)","(-100, -200),(200, -100)","(200, 100),(100, 200),(-100, -200),(200, -100)","(0, 102, 102),(107, 142, 35),(139, 69, 19),(255, 128, 0)","(0, 102, 102),(107, 142, 35)","(139, 69, 19),(255, 128, 0)"
2,0,2,2,5,1,1,0,191,281,"(-100, 200),(200, 100)","(200, -100),(100, -200)","(-100, 200),(200, 100),(200, -100),(100, -200)","(0, 128, 128),(222, 184, 135),(128, 0, 128),(0, 230, 115)","(0, 128, 128),(222, 184, 135)","(128, 0, 128),(0, 230, 115)"
4,0,2,0,5,1,1,0,192,211,"(-200, 100),(-100, 200),(200, 100),(100, 200)","(-100, -200),(100, -200),(-200, -100),(200, -100)","(-200, 100),(-100, 200),(200, 100),(100, 200),(-100, -200),(100, -200),(-200, -100),(200, -100)","(0, 128, 128),(0, 102, 102),(222, 184, 135),(255, 182, 193),(255, 128, 0),(0, 100, 0),(128, 0, 128),(139, 69, 19)","(0, 128, 128),(0, 102, 102),(222, 184, 135),(255, 182, 193)","(255, 128, 0),(0, 100, 0),(128, 0, 128),(139, 69, 19)"
2,0,5,1,5,1,0,1,193,249,"(-100, 200),(-200, 100)","(100, -200),(-100, -200)","(-100, 200),(-200, 100),(100, -200),(-100, -200)","(255, 182, 193),(255, 140, 0),(139, 69, 19),(0, 100, 0)","(255, 182, 193),(255, 140, 0)","(139, 69, 19),(0, 100, 0)"
3,1,2,0,2,1,0,1,194,738,"(-200, 100),(-100, 200),(200, 100)","(-100, -200),(-200, -100),(200, -100)","(-200, 100),(-100, 200),(200, 100),(-100, -200),(-200, -100),(200, -100)","(0, 102, 102),(0, 128, 128),(255, 182, 193),(255, 128, 0),(128, 0, 128),(0, 230, 115)","(0, 102, 102),(0, 128, 128),(255, 182, 193)","(255, 128, 0),(128, 0, 128),(0, 230, 115)"
4,1,2,2,0.3,0,1,0,195,691,"(-200, 100),(200, 100),(-100, 200),(100, 200)","(100, -200),(-100, -200),(200, -100),(-200, -100)","(-200, 100),(200, 100),(-100, 200),(100, 200),(100, -200),(-100, -200),(200, -100),(-200, -100)","(0, 128, 128),(255, 182, 193),(107, 142, 35),(0, 102, 102),(128, 0, 128),(139, 69, 19),(255, 128, 0),(0, 100, 0)","(0, 128, 128),(255, 182, 193),(107, 142, 35),(0, 102, 102)","(128, 0, 128),(139, 69, 19),(255, 128, 0),(0, 100, 0)"
4,0,0.3,1,5,1,0,1,196,243,"(100, 200),(-100, 200),(-200, 100),(200, 100)","(-100, -200),(100, -200),(200, -100),(-200, -100)","(100, 200),(-100, 200),(-200, 100),(200, 100),(-100, -200),(100, -200),(200, -100),(-200, -100)","(222, 184, 135),(0, 128, 128),(107, 142, 35),(255, 182, 193),(139, 69, 19),(0, 230, 115),(255, 128, 0),(128, 0, 128)","(222, 184, 135),(0, 128, 128),(107, 142, 35),(255, 182, 193)","(139, 69, 19),(0, 230, 115),(255, 128, 0),(128, 0, 128)"
3,2,5,2,0.3,0,1,0,197,982,"(-100, 200),(200, 100),(100, 200)","(-100, -200),(200, -100),(-200, -100)","(-100, 200),(200, 100),(100, 200),(-100, -200),(200, -100),(-200, -100)","(222, 184, 135),(0, 102, 102),(0, 128, 128),(128, 0, 128),(139, 69, 19),(255, 128, 0)","(222, 184, 135),(0, 102, 102),(0, 128, 128)","(128, 0, 128),(139, 69, 19),(255, 128, 0)"
1,1,5,2,5,1,0,1,198,860,"(200, 100)","(100, -200)","(200, 100),(100, -200)","(0, 102, 102),(0, 100, 0)","(0, 102, 102)","(0, 100, 0)"
2,2,5,1,0.3,1,1,0,199,1089,"(100, 200),(-200, 100)","(-100, -200),(100, -200)","(100, 200),(-200, 100),(-100, -200),(100, -200)","(0, 128, 128),(255, 182, 193),(139, 69, 19),(255, 128, 0)","(0, 128, 128),(255, 182, 193)","(139, 69, 19),(255, 128, 0)"
1,0,0.3,2,2,0,0,1,200,120,"(-100, 200)","(100, -200)","(-100, 200),(100, -200)","(0, 102, 102),(139, 69, 19)","(0, 102, 102)","(139, 69, 19)"
3,2,2,2,2,0,1,0,201,990,"(-100, 200),(100, 200),(-200, 100)","(-100, -200),(100, -200),(-200, -100)","(-100, 200),(100, 200),(-200, 100),(-100, -200),(100, -200),(-200, -100)","(0, 128, 128),(107, 142, 35),(222, 184, 135),(0, 230, 115),(139, 69, 19),(255, 128, 0)","(0, 128, 128),(107, 142, 35),(222, 184, 135)","(0, 230, 115),(139, 69, 19),(255, 128, 0)"
3,2,2,1,2,1,0,1,202,1098,"(200, 100),(-200, 100),(-100, 200)","(-100, -200),(200, -100),(-200, -100)","(200, 100),(-200, 100),(-100, 200),(-100, -200),(200, -100),(-200, -100)","(107, 142, 35),(222, 184, 135),(0, 128, 128),(255, 128, 0),(0, 230, 115),(0, 100, 0)","(107, 142, 35),(222, 184, 135),(0, 128, 128)","(255, 128, 0),(0, 230, 115),(0, 100, 0)"
4,1,0.3,2,5,1,1,0,203,855,"(100, 200),(-200, 100),(200, 100),(-100, 200)","(-200, -100),(100, -200),(200, -100),(-100, -200)","(100, 200),(-200, 100),(200, 100),(-100, 200),(-200, -100),(100, -200),(200, -100),(-100, -200)","(0, 102, 102),(255, 140, 0),(222, 184, 135),(0, 128, 128),(0, 230, 115),(0, 100, 0),(139, 69, 19),(255, 128, 0)","(0, 102, 102),(255, 140, 0),(222, 184, 135),(0, 128, 128)","(0, 230, 115),(0, 100, 0),(139, 69, 19),(255, 128, 0)"
1,0,0.3,2,0.3,0,1,0,204,108,"(200, 100)","(200, -100)","(200, 100),(200, -100)","(222, 184, 135),(0, 230, 115)","(222, 184, 135)","(0, 230, 115)"
4,2,2,2,2,1,0,1,205,1135,"(-200, 100),(100, 200),(-100, 200),(200, 100)","(200, -100),(-200, -100),(100, -200),(-100, -200)","(-200, 100),(100, 200),(-100, 200),(200, 100),(200, -100),(-200, -100),(100, -200),(-100, -200)","(107, 142, 35),(0, 102, 102),(255, 182, 193),(255, 140, 0),(0, 230, 115),(255, 128, 0),(128, 0, 128),(0, 100, 0)","(107, 142, 35),(0, 102, 102),(255, 182, 193),(255, 140, 0)","(0, 230, 115),(255, 128, 0),(128, 0, 128),(0, 100, 0)"
1,1,0.3,1,0.3,1,0,1,206,792,"(100, 200)","(-200, -100)","(100, 200),(-200, -100)","(107, 142, 35),(0, 230, 115)","(107, 142, 35)","(0, 230, 115)"
1,1,5,0,0.3,0,1,0,207,620,"(-100, 200)","(-100, -200)","(-100, 200),(-100, -200)","(0, 128, 128),(128, 0, 128)","(0, 128, 128)","(128, 0, 128)"
3,2,2,0,5,0,0,1,208,894,"(-200, 100),(200, 100),(100, 200)","(200, -100),(100, -200),(-200, -100)","(-200, 100),(200, 100),(100, 200),(200, -100),(100, -200),(-200, -100)","(255, 140, 0),(0, 102, 102),(222, 184, 135),(0, 100, 0),(0, 230, 115),(128, 0, 128)","(255, 140, 0),(0, 102, 102),(222, 184, 135)","(0, 100, 0),(0, 230, 115),(128, 0, 128)"
1,0,5,0,0.3,0,1,0,209,332,"(-100, 200)","(-200, -100)","(-100, 200),(-200, -100)","(0, 102, 102),(139, 69, 19)","(0, 102, 102)","(139, 69, 19)"
1,0,5,0,0.3,1,1,0,210,476,"(100, 200)","(200, -100)","(100, 200),(200, -100)","(0, 102, 102),(0, 230, 115)","(0, 102, 102)","(0, 230, 115)"
1,0,0.3,0,5,1,0,1,211,492,"(-100, 200)","(200, -100)","(-100, 200),(200, -100)","(0, 128, 128),(139, 69, 19)","(0, 128, 128)","(139, 69, 19)"
4,2,5,0,0.3,1,0,1,212,1019,"(-200, 100),(200, 100),(100, 200),(-100, 200)","(200, -100),(100, -200),(-100, -200),(-200, -100)","(-200, 100),(200, 100),(100, 200),(-100, 200),(200, -100),(100, -200),(-100, -200),(-200, -100)","(222, 184, 135),(0, 128, 128),(0, 102, 102),(255, 140, 0),(128, 0, 128),(0, 230, 115),(0, 100, 0),(255, 128, 0)","(222, 184, 135),(0, 128, 128),(0, 102, 102),(255, 140, 0)","(128, 0, 128),(0, 230, 115),(0, 100, 0),(255, 128, 0)"
2,0,2,2,0.3,0,1,0,213,113,"(-200, 100),(-100, 200)","(-100, -200),(-200, -100)","(-200, 100),(-100, 200),(-100, -200),(-200, -100)","(222, 184, 135),(255, 182, 193),(128, 0, 128),(255, 128, 0)","(222, 184, 135),(255, 182, 193)","(128, 0, 128),(255, 128, 0)"
3,1,0.3,1,5,1,0,1,214,818,"(-200, 100),(200, 100),(-100, 200)","(-100, -200),(-200, -100),(200, -100)","(-200, 100),(200, 100),(-100, 200),(-100, -200),(-200, -100),(200, -100)","(0, 128, 128),(255, 140, 0),(222, 184, 135),(0, 100, 0),(0, 230, 115),(128, 0, 128)","(0, 128, 128),(255, 140, 0),(222, 184, 135)","(0, 100, 0),(0, 230, 115),(128, 0, 128)"
4,1,0.3,2,2,1,1,0,215,843,"(100, 200),(200, 100),(-100, 200),(-200, 100)","(200, -100),(-100, -200),(-200, -100),(100, -200)","(100, 200),(200, 100),(-100, 200),(-200, 100),(200, -100),(-100, -200),(-200, -100),(100, -200)","(107, 142, 35),(255, 182, 193),(0, 102, 102),(222, 184, 135),(255, 128, 0),(0, 100, 0),(128, 0, 128),(139, 69, 19)","(107, 142, 35),(255, 182, 193),(0, 102, 102),(222, 184, 135)","(255, 128, 0),(0, 100, 0),(128, 0, 128),(139, 69, 19)"
1,2,5,1,5,1,1,0,216,1112,"(-100, 200)","(100, -200)","(-100, 200),(100, -200)","(0, 102, 102),(139, 69, 19)","(0, 102, 102)","(139, 69, 19)"
3,0,5,2,0.3,0,0,1,217,406,"(100, 200),(-100, 200),(-200, 100)","(-100, -200),(100, -200),(-200, -100)","(100, 200),(-100, 200),(-200, 100),(-100, -200),(100, -200),(-200, -100)","(255, 140, 0),(0, 128, 128),(222, 184, 135),(255, 128, 0),(0, 230, 115),(128, 0, 128)","(255, 140, 0),(0, 128, 128),(222, 184, 135)","(255, 128, 0),(0, 230, 115),(128, 0, 128)"
4,0,0.3,0,2,1,1,0,218,483,"(-200, 100),(200, 100),(-100, 200),(100, 200)","(200, -100),(-200, -100),(100, -200),(-100, -200)","(-200, 100),(200, 100),(-100, 200),(100, 200),(200, -100),(-200, -100),(100, -200),(-100, -200)","(255, 140, 0),(0, 102, 102),(255, 182, 193),(107, 142, 35),(128, 0, 128),(0, 230, 115),(255, 128, 0),(139, 69, 19)","(255, 140, 0),(0, 102, 102),(255, 182, 193),(107, 142, 35)","(128, 0, 128),(0, 230, 115),(255, 128, 0),(139, 69, 19)"
4,2,5,0,5,0,0,1,219,935,"(100, 200),(-100, 200),(200, 100),(-200, 100)","(-200, -100),(200, -100),(100, -200),(-100, -200)","(100, 200),(-100, 200),(200, 100),(-200, 100),(-200, -100),(200, -100),(100, -200),(-100, -200)","(0, 102, 102),(255, 140, 0),(222, 184, 135),(255, 182, 193),(0, 230, 115),(128, 0, 128),(139, 69, 19),(0, 100, 0)","(0, 102, 102),(255, 140, 0),(222, 184, 135),(255, 182, 193)","(0, 230, 115),(128, 0, 128),(139, 69, 19),(0, 100, 0)"
3,2,2,1,5,0,0,1,220,966,"(-100, 200),(200, 100),(100, 200)","(-200, -100),(200, -100),(100, -200)","(-100, 200),(200, 100),(100, 200),(-200, -100),(200, -100),(100, -200)","(0, 102, 102),(222, 184, 135),(255, 140, 0),(0, 230, 115),(0, 100, 0),(139, 69, 19)","(0, 102, 102),(222, 184, 135),(255, 140, 0)","(0, 230, 115),(0, 100, 0),(139, 69, 19)"
2,2,2,1,2,0,1,0,221,953,"(-200, 100),(100, 200)","(200, -100),(-100, -200)","(-200, 100),(100, 200),(200, -100),(-100, -200)","(222, 184, 135),(255, 182, 193),(0, 230, 115),(139, 69, 19)","(222, 184, 135),(255, 182, 193)","(0, 230, 115),(139, 69, 19)"
1,0,5,1,2,0,0,1,222,380,"(-200, 100)","(-100, -200)","(-200, 100),(-100, -200)","(222, 184, 135),(255, 128, 0)","(222, 184, 135)","(255, 128, 0)"
3,0,0.3,1,0.3,0,1,0,223,74,"(100, 200),(-100, 200),(200, 100)","(200, -100),(100, -200),(-100, -200)","(100, 200),(-100, 200),(200, 100),(200, -100),(100, -200),(-100, -200)","(0, 102, 102),(0, 128, 128),(255, 182, 193),(0, 100, 0),(128, 0, 128),(255, 128, 0)","(0, 102, 102),(0, 128, 128),(255, 182, 193)","(0, 100, 0),(128, 0, 128),(255, 128, 0)"
4,1,2,1,0.3,0,0,1,224,655,"(200, 100),(-200, 100),(100, 200),(-100, 200)","(-100, -200),(200, -100),(-200, -100),(100, -200)","(200, 100),(-200, 100),(100, 200),(-100, 200),(-100, -200),(200, -100),(-200, -100),(100, -200)","(255, 140, 0),(0, 128, 128),(255, 182, 193),(222, 184, 135),(255, 128, 0),(0, 100, 0),(139, 69, 19),(128, 0, 128)","(255, 140, 0),(0, 128, 128),(255, 182, 193),(222, 184, 135)","(255, 128, 0),(0, 100, 0),(139, 69, 19),(128, 0, 128)"
2,0,0.3,2,0.3,0,1,0,225,109,"(-200, 100),(200, 100)","(200, -100),(-200, -100)","(-200, 100),(200, 100),(200, -100),(-200, -100)","(255, 140, 0),(107, 142, 35),(0, 230, 115),(0, 100, 0)","(255, 140, 0),(107, 142, 35)","(0, 230, 115),(0, 100, 0)"
4,2,0.3,2,5,0,1,0,226,999,"(200, 100),(-100, 200),(100, 200),(-200, 100)","(100, -200),(-100, -200),(-200, -100),(200, -100)","(200, 100),(-100, 200),(100, 200),(-200, 100),(100, -200),(-100, -200),(-200, -100),(200, -100)","(255, 182, 193),(0, 128, 128),(222, 184, 135),(255, 140, 0),(0, 230, 115),(0, 100, 0),(128, 0, 128),(139, 69, 19)","(255, 182, 193),(0, 128, 128),(222, 184, 135),(255, 140, 0)","(0, 230, 115),(0, 100, 0),(128, 0, 128),(139, 69, 19)"
1,0,5,1,0.3,1,0,1,227,224,"(-100, 200)","(-200, -100)","(-100, 200),(-200, -100)","(255, 140, 0),(0, 100, 0)","(255, 140, 0)","(0, 100, 0)"
3,1,0.3,1,5,0,0,1,228,674,"(200, 100),(-100, 200),(-200, 100)","(200, -100),(100, -200),(-200, -100)","(200, 100),(-100, 200),(-200, 100),(200, -100),(100, -200),(-200, -100)","(107, 142, 35),(0, 102, 102),(0, 128, 128),(139, 69, 19),(255, 128, 0),(0, 230, 115)","(107, 142, 35),(0, 102, 102),(0, 128, 128)","(139, 69, 19),(255, 128, 0),(0, 230, 115)"
2,0,5,1,2,0,1,0,229,381,"(-200, 100),(-100, 200)","(-100, -200),(-200, -100)","(-200, 100),(-100, 200),(-100, -200),(-200, -100)","(0, 128, 128),(255, 182, 193),(128, 0, 128),(139, 69, 19)","(0, 128, 128),(255, 182, 193)","(128, 0, 128),(139, 69, 19)"
1,2,2,2,5,1,0,1,230,1144,"(200, 100)","(-200, -100)","(200, 100),(-200, -100)","(222, 184, 135),(128, 0, 128)","(222, 184, 135)","(128, 0, 128)"
4,1,2,0,2,0,1,0,231,595,"(100, 200),(-100, 200),(200, 100),(-200, 100)","(200, -100),(100, -200),(-200, -100),(-100, -200)","(100, 200),(-100, 200),(200, 100),(-200, 100),(200, -100),(100, -200),(-200, -100),(-100, -200)","(107, 142, 35),(255, 140, 0),(222, 184, 135),(255, 182, 193),(128, 0, 128),(0, 100, 0),(139, 69, 19),(0, 230, 115)","(107, 142, 35),(255, 140, 0),(222, 184, 135),(255, 182, 193)","(128, 0, 128),(0, 100, 0),(139, 69, 19),(0, 230, 115)"
3,2,5,0,0.3,1,1,0,232,1054,"(-100, 200),(200, 100),(-200, 100)","(-100, -200),(100, -200),(-200, -100)","(-100, 200),(200, 100),(-200, 100),(-100, -200),(100, -200),(-200, -100)","(107, 142, 35),(255, 182, 193),(0, 128, 128),(139, 69, 19),(0, 230, 115),(0, 100, 0)","(107, 142, 35),(255, 182, 193),(0, 128, 128)","(139, 69, 19),(0, 230, 115),(0, 100, 0)"
3,2,2,1,5,1,0,1,233,1110,"(200, 100),(-200, 100),(100, 200)","(100, -200),(200, -100),(-200, -100)","(200, 100),(-200, 100),(100, 200),(100, -200),(200, -100),(-200, -100)","(107, 142, 35),(222, 184, 135),(255, 182, 193),(139, 69, 19),(0, 100, 0),(255, 128, 0)","(107, 142, 35),(222, 184, 135),(255, 182, 193)","(139, 69, 19),(0, 100, 0),(255, 128, 0)"
4,0,2,0,2,0,1,0,234,55,"(-200, 100),(200, 100),(100, 200),(-100, 200)","(200, -100),(-100, -200),(-200, -100),(100, -200)","(-200, 100),(200, 100),(100, 200),(-100, 200),(200, -100),(-100, -200),(-200, -100),(100, -200)","(255, 140, 0),(107, 142, 35),(0, 102, 102),(255, 182, 193),(0, 100, 0),(0, 230, 115),(128, 0, 128),(139, 69, 19)","(255, 140, 0),(107, 142, 35),(0, 102, 102),(255, 182, 193)","(0, 100, 0),(0, 230, 115),(128, 0, 128),(139, 69, 19)"
3,2,2,1,2,0,0,1,235,954,"(-200, 100),(200, 100),(-100, 200)","(-100, -200),(200, -100),(-200, -100)","(-200, 100),(200, 100),(-100, 200),(-100, -200),(200, -100),(-200, -100)","(0, 128, 128),(222, 184, 135),(255, 182, 193),(139, 69, 19),(0, 230, 115),(128, 0, 128)","(0, 128, 128),(222, 184, 135),(255, 182, 193)","(139, 69, 19),(0, 230, 115),(128, 0, 128)"
2,0,2,2,0.3,1,1,0,236,257,"(-100, 200),(200, 100)","(-200, -100),(100, -200)","(-100, 200),(200, 100),(-200, -100),(100, -200)","(0, 102, 102),(255, 182, 193),(139, 69, 19),(0, 100, 0)","(0, 102, 102),(255, 182, 193)","(139, 69, 19),(0, 100, 0)"
1,0,0.3,0,0.3,1,0,1,237,468,"(-200, 100)","(-100, -200)","(-200, 100),(-100, -200)","(222, 184, 135),(0, 230, 115)","(222, 184, 135)","(0, 230, 115)"
4,2,5,1,5,1,0,1,238,1115,"(-100, 200),(100, 200),(200, 100),(-200, 100)","(200, -100),(100, -200),(-100, -200),(-200, -100)","(-100, 200),(100, 200),(200, 100),(-200, 100),(200, -100),(100, -200),(-100, -200),(-200, -100)","(255, 140, 0),(0, 128, 128),(0, 102, 102),(107, 142, 35),(139, 69, 19),(255, 128, 0),(128, 0, 128),(0, 100, 0)","(255, 140, 0),(0, 128, 128),(0, 102, 102),(107, 142, 35)","(139, 69, 19),(255, 128, 0),(128, 0, 128),(0, 100, 0)"
3,0,0.3,0,2,0,1,0,239,338,"(200, 100),(100, 200),(-200, 100)","(200, -100),(100, -200),(-200, -100)","(200, 100),(100, 200),(-200, 100),(200, -100),(100, -200),(-200, -100)","(107, 142, 35),(255, 140, 0),(0, 128, 128),(0, 230, 115),(0, 100, 0),(255, 128, 0)","(107, 142, 35),(255, 140, 0),(0, 128, 128)","(0, 230, 115),(0, 100, 0),(255, 128, 0)"
1,0,0.3,2,5,1,0,1,240,564,"(100, 200)","(-100, -200)","(100, 200),(-100, -200)","(222, 184, 135),(128, 0, 128)","(222, 184, 135)","(128, 0, 128)"
3,0,2,2,0.3,1,1,0,241,258,"(100, 200),(200, 100),(-200, 100)","(100, -200),(200, -100),(-200, -100)","(100, 200),(200, 100),(-200, 100),(100, -200),(200, -100),(-200, -100)","(222, 184, 135),(255, 140, 0),(255, 182, 193),(255, 128, 0),(128, 0, 128),(0, 230, 115)","(222, 184, 135),(255, 140, 0),(255, 182, 193)","(255, 128, 0),(128, 0, 128),(0, 230, 115)"
4,2,2,1,0.3,0,0,1,242,943,"(-200, 100),(100, 200),(-100, 200),(200, 100)","(-100, -200),(200, -100),(-200, -100),(100, -200)","(-200, 100),(100, 200),(-100, 200),(200, 100),(-100, -200),(200, -100),(-200, -100),(100, -200)","(0, 128, 128),(0, 102, 102),(255, 182, 193),(255, 140, 0),(139, 69, 19),(0, 100, 0),(128, 0, 128),(255, 128, 0)","(0, 128, 128),(0, 102, 102),(255, 182, 193),(255, 140, 0)","(139, 69, 19),(0, 100, 0),(128, 0, 128),(255, 128, 0)"
1,1,2,0,5,1,1,0,243,748,"(-100, 200)","(-200, -100)","(-100, 200),(-200, -100)","(255, 140, 0),(128, 0, 128)","(255, 140, 0)","(128, 0, 128)"
2,1,2,0,5,1,1,0,244,749,"(-100, 200),(100, 200)","(-100, -200),(200, -100)","(-100, 200),(100, 200),(-100, -200),(200, -100)","(0, 102, 102),(107, 142, 35),(139, 69, 19),(0, 100, 0)","(0, 102, 102),(107, 142, 35)","(139, 69, 19),(0, 100, 0)"
2,0,5,2,2,1,0,1,245,273,"(-100, 200),(200, 100)","(200, -100),(100, -200)","(-100, 200),(200, 100),(200, -100),(100, -200)","(222, 184, 135),(0, 128, 128),(128, 0, 128),(0, 230, 115)","(222, 184, 135),(0, 128, 128)","(128, 0, 128),(0, 230, 115)"
1,0,2,2,2,1,0,1,246,268,"(-200, 100)","(-200, -100)","(-200, 100),(-200, -100)","(255, 182, 193),(128, 0, 128)","(255, 182, 193)","(128, 0, 128)"
1,0,2,0,5,1,1,0,247,460,"(-200, 100)","(100, -200)","(-200, 100),(100, -200)","(255, 140, 0),(0, 230, 115)","(255, 140, 0)","(0, 230, 115)"
4,1,2,0,0.3,1,0,1,248,763,"(200, 100),(-100, 200),(-200, 100),(100, 200)","(-100, -200),(100, -200),(-200, -100),(200, -100)","(200, 100),(-100, 200),(-200, 100),(100, 200),(-100, -200),(100, -200),(-200, -100),(200, -100)","(0, 128, 128),(222, 184, 135),(107, 142, 35),(0, 102, 102),(0, 230, 115),(255, 128, 0),(128, 0, 128),(139, 69, 19)","(0, 128, 128),(222, 184, 135),(107, 142, 35),(0, 102, 102)","(0, 230, 115),(255, 128, 0),(128, 0, 128),(139, 69, 19)"
2,2,0.3,1,2,0,1,0,249,949,"(200, 100),(100, 200)","(-100, -200),(200, -100)","(200, 100),(100, 200),(-100, -200),(200, -100)","(0, 128, 128),(107, 142, 35),(0, 100, 0),(255, 128, 0)","(0, 128, 128),(107, 142, 35)","(0, 100, 0),(255, 128, 0)"
2,2,0.3,0,5,1,1,0,250,1033,"(100, 200),(-100, 200)","(200, -100),(100, -200)","(100, 200),(-100, 200),(200, -100),(100, -200)","(255, 140, 0),(107, 142, 35),(0, 230, 115),(0, 100, 0)","(255, 140, 0),(107, 142, 35)","(0, 230, 115),(0, 100, 0)"
4,2,0.3,1,0.3,1,0,1,251,1083,"(-200, 100),(200, 100),(100, 200),(-100, 200)","(100, -200),(200, -100),(-100, -200),(-200, -100)","(-200, 100),(200, 100),(100, 200),(-100, 200),(100, -200),(200, -100),(-100, -200),(-200, -100)","(107, 142, 35),(0, 102, 102),(222, 184, 135),(255, 182, 193),(255, 128, 0),(128, 0, 128),(0, 230, 115),(139, 69, 19)","(107, 142, 35),(0, 102, 102),(222, 184, 135),(255, 182, 193)","(255, 128, 0),(128, 0, 128),(0, 230, 115),(139, 69, 19)"
2,0,0.3,0,0.3,1,0,1,252,145,"(200, 100),(-200, 100)","(200, -100),(100, -200)","(200, 100),(-200, 100),(200, -100),(100, -200)","(107, 142, 35),(0, 102, 102),(0, 230, 115),(128, 0, 128)","(107, 142, 35),(0, 102, 102)","(0, 230, 115),(128, 0, 128)"
2,0,0.3,0,2,0,1,0,253,301,"(100, 200),(-100, 200)","(-100, -200),(-200, -100)","(100, 200),(-100, 200),(-100, -200),(-200, -100)","(0, 102, 102),(255, 140, 0),(139, 69, 19),(0, 230, 115)","(0, 102, 102),(255, 140, 0)","(139, 69, 19),(0, 230, 115)"
