col_a,color,col_b,ups,pos,downs,,,,,,,,,,,,,,,,,,,,,,,,,,
"(-1,0,0), (1,0.436,0.06), (1,0, -1)","(1,0, -1), (1,0.436,0.06), (-1,-0.22, -1), (-1,0,0), (1,0.42, 0.507), (-1,0.8, -0.1)","(-1,0,0), (-1,0.8, -0.1), (1,0, -1)","(100, 200), (200, 100), (-100, 200)","(100, 200), (200, 100), (-100, 200), (200, -100), (-200, -100), (-100, -200)","(200, -100), (-200, -100), (-100, -200)",3,1,5,1,5,1,0,1,11,826,,,,,,,,,,,,,,,,
"(1,0.1, -1), (-1,-0.22, -1), (1,0.42, 0.507)","(1,0.42, 0.507), (1,0.1, -1), (0.1,-0.45183333, -0.846), (-1,0.8, -0.1), (-1,-0.22, -1), (1,0.436,0.06)","(-1,0.8, -0.1), (1,0.1, -1), (1,0.42, 0.507)","(200, 100), (-200, 100), (-100, 200)","(200, 100), (-200, 100), (-100, 200), (-200, -100), (-100, -200), (100, -200)","(-200, -100), (-100, -200), (100, -200)",3,2,5,0,2,1,1,0,12,1066,,,,,,,,,,,,,,,,
"(0.1,-0.45183333, -0.846), (0, -1,0), (-1,0.8, -0.1), (1,0.1, -1)","(-0.15701333,0.12,-0.1936), (-1,-0.2 -0.2), (0.1,-0.45183333, -0.846), (0, -1,0), (-1,0.8, -0.1), (1,0.1, -1), (1,0.436,0.06), (-1,0,0)","(-1,0,0), (-1,-0.2 -0.2), (0.1,-0.45183333, -0.846), (-0.15701333,0.12,-0.1936)","(100, 200), (200, 100), (-200, 100), (-100, 200)","(100, 200), (200, 100), (-200, 100), (-100, 200), (-200, -100), (100, -200), (200, -100), (-100, -200)","(-200, -100), (100, -200), (200, -100), (-100, -200)",4,0,0.3,2,5,0,0,1,13,135,,,,,,,,,,,,,,,,
"(-1,0.8, -0.1)","(-1,0.8, -0.1), (1,0.42, 0.507)","(1,0.42, 0.507)","(-100, 200)","(-100, 200), (100, -200)","(100, -200)",1,2,0.3,2,5,0,0,1,14,996,,,,,,,,,,,,,,,,
"(0.1,-0.45183333, -0.846)","(0, -1,0), (0.1,-0.45183333, -0.846)","(0.1,-0.45183333, -0.846)","(-100, 200)","(-100, 200), (200, -100)","(200, -100)",1,0,2,2,5,0,1,0,15,136,,,,,,,,,,,,,,,,
"(-0.15701333,0.12,-0.1936), (0.1,-0.45183333, -0.846), (1,0, -1)","(0.1,-0.45183333, -0.846), (0, -1,0), (1,0, -1), (-1,-0.2 -0.2), (-0.15701333,0.12,-0.1936), (-1,0.8, -0.1)","(0, -1,0), (-1,-0.2 -0.2), (0.1,-0.45183333, -0.846)","(-100, 200), (-200, 100), (200, 100)","(-100, 200), (-200, 100), (200, 100), (-100, -200), (-200, -100), (200, -100)","(-100, -200), (-200, -100), (200, -100)",3,0,2,0,2,1,1,0,16,162,,,,,,,,,,,,,,,,
"(1,0, -1), (-0.15701333,0.12,-0.1936)","(1,0.42, 0.507), (-0.15701333,0.12,-0.1936), (1,0, -1), (-1,-0.2 -0.2)","(1,0.42, 0.507), (-1,-0.2 -0.2)","(-200, 100), (-100, 200)","(-200, 100), (-100, 200), (200, -100), (-200, -100)","(200, -100), (-200, -100)",2,0,0.3,0,0.3,0,0,1,17,289,,,,,,,,,,,,,,,,
"(-1,-0.2 -0.2), (-1,0.8, -0.1), (-1,-0.22, -1), (1,0.1, -1)","(-1,-0.2 -0.2), (1,0.1, -1), (0, -1,0), (1,0, -1), (1,0.42, 0.507), (-1,-0.22, -1), (-1,0.8, -0.1), (1,0.436,0.06)","(1,0, -1), (0, -1,0), (1,0.1, -1), (1,0.436,0.06)","(100, 200), (-200, 100), (-100, 200), (200, 100)","(100, 200), (-200, 100), (-100, 200), (200, 100), (-100, -200), (200, -100), (100, -200), (-200, -100)","(-100, -200), (200, -100), (100, -200), (-200, -100)",4,2,0.3,1,2,0,1,0,18,951,,,,,,,,,,,,,,,,
"(1,0, -1)","(-1,0.8, -0.1), (1,0, -1)","(1,0, -1)","(200, 100)","(200, 100), (100, -200)","(100, -200)",1,0,2,0,0.3,0,0,1,19,4,,,,,,,,,,,,,,,,
"(-1,-0.2 -0.2), (-1,0.8, -0.1)","(-0.15701333,0.12,-0.1936), (-1,0.8, -0.1), (-1,-0.2 -0.2), (1,0.436,0.06)","(-1,-0.2 -0.2), (1,0.436,0.06)","(200, 100), (-100, 200)","(200, 100), (-100, 200), (-200, -100), (100, -200)","(-200, -100), (100, -200)",2,2,0.3,0,2,1,0,1,20,1021,,,,,,,,,,,,,,,,
